kernel,N,category,profiles,mean_tc_pipe_pct,mean_achieved_occupancy_pct,mean_dram_throughput_pct,mean_mem_workload_pct,mean_cuda_core_achieved_gflops,mean_cuda_core_pct_fp32_peak,mean_cuda_core_ai_flop_per_byte,hmma_insts_total,dominant_stall,dominant_stall_value,second_stall,second_stall_value,third_stall,third_stall_value
COMMUNITY_TC,128,Community,4,0.0,79.790035,74.03792800000001,74.924105,537.2371572221897,1.5099414199611854,0.762388184052341,0,long_scoreboard,54.698915250000006,wait,1.92948875,selected,0.999999
COMMUNITY_TC,128,Dense Large-Scale,4,0.0,78.11866525,72.81193925,81.32992499999999,717.3429276803092,2.016140887240892,1.151081629105741,0,long_scoreboard,76.9622765,wait,1.6453142500000002,lg_throttle,1.42001725
COMMUNITY_TC,128,Dense Small,6,0.0,63.43874683333333,21.026039166666667,46.22091816666667,475.3189337024842,1.3359160587478476,4.005584286464359,0,long_scoreboard,39.728437,wait,1.8182906666666667,selected,1.0000305
COMMUNITY_TC,128,Mixed/Irregular,5,0.0,52.405881199999996,27.0402836,30.7340592,185.7633302417824,0.5221004222647061,2.388031070699674,0,long_scoreboard,50.7112642,wait,1.8919490000000003,imc_miss,1.3385536
COMMUNITY_TC,128,Sparse Skewed,3,0.0,80.68608933333333,75.85943066666667,81.246471,508.7711488584239,1.4299357753187856,0.8740319909881354,0,long_scoreboard,102.36267533333334,wait,1.71303,selected,0.9999996666666666
COMMUNITY_TC,128,Sparse Uniform,9,0.0,85.12901022222222,88.03592366666668,88.03592366666668,682.9695071281013,1.9195320605061867,0.8681413560407889,0,long_scoreboard,56.15687888888889,wait,1.9354473333333335,selected,0.9999997777777777
COMMUNITY_TC,512,Community,4,0.0,77.66914050000001,76.66616400000001,76.66616400000001,433.2374049928426,1.2176430719304177,0.6008651631420063,0,long_scoreboard,81.43513725,wait,1.7973522499999999,selected,1.0
COMMUNITY_TC,512,Dense Large-Scale,4,0.0,78.67215275000001,87.183707,87.183707,512.947529931359,1.4416737772101154,0.6495630299409993,0,long_scoreboard,108.30404925,lg_throttle,2.72073775,wait,1.6275275000000002
COMMUNITY_TC,512,Dense Small,6,0.0,65.08380683333333,41.11242933333333,51.676532,442.3041510110816,1.2431257757478404,1.3819293303710263,0,long_scoreboard,58.681034000000004,wait,1.7238375000000001,selected,0.999993
COMMUNITY_TC,512,Mixed/Irregular,5,0.0,49.8457724,30.494724199999997,33.578396999999995,192.66226290173586,0.5414903398025179,2.0008992171766655,0,long_scoreboard,61.00677,wait,1.7795492,selected,0.9999819999999999
COMMUNITY_TC,512,Sparse Skewed,3,0.0,80.873564,84.039686,84.039686,444.6265153960597,1.2496529381564354,0.5969628380327106,0,long_scoreboard,121.61809699999999,wait,1.6570116666666665,selected,0.9999996666666666
COMMUNITY_TC,512,Sparse Uniform,9,0.0,85.29888311111111,89.16681822222223,89.16681822222223,584.7198907390008,1.6433948587380574,0.7289697618442028,0,long_scoreboard,81.55123433333333,wait,1.8095485555555553,selected,1.0
CSR_DIRECT,128,Community,4,0.0,75.128859,76.059642,76.059642,374.076398831457,1.0513670568618803,0.5403243686551238,0,long_scoreboard,76.05265324999999,wait,1.8863035,selected,1.00000475
CSR_DIRECT,128,Dense Large-Scale,4,0.0,60.2230775,75.2341795,85.836407,670.7165326327538,1.8850942457356767,1.1062404662038294,0,long_scoreboard,68.1857925,wait,1.4586775,selected,1.00000025
CSR_DIRECT,128,Dense Small,6,0.0,47.669515999999994,21.725399499999998,46.49750216666666,442.9523679038296,1.2449476332316742,3.8028424173650777,0,long_scoreboard,34.964297333333334,wait,1.6827765,selected,1.0000175
CSR_DIRECT,128,Mixed/Irregular,5,0.0,31.6143286,26.736928,30.933885799999995,182.6882032860544,0.5134575696628847,2.4087945723317215,0,long_scoreboard,37.808209,wait,1.7389607999999999,selected,0.9999650000000001
CSR_DIRECT,128,Sparse Skewed,3,0.0,65.16599266666667,81.158059,88.04550733333333,587.4870579184067,1.6511721695289676,0.9282074969474726,0,long_scoreboard,78.24769366666668,wait,1.5126039999999998,selected,1.0000099999999998
CSR_DIRECT,128,Sparse Uniform,9,0.0,78.99208733333334,89.78923722222221,89.78923722222221,451.7064853386024,1.269551673239467,0.554789396414983,0,long_scoreboard,76.82354166666666,wait,1.8368118888888891,selected,1.000004111111111
CSR_DIRECT,512,Community,4,0.0,75.3548675,77.651764,77.651764,325.34750835761554,0.9144112095492286,0.46525262319606503,0,long_scoreboard,104.928023,wait,1.78573,selected,1.000001
CSR_DIRECT,512,Dense Large-Scale,4,0.0,59.815906,88.97692125,88.97692125,508.21529839749826,1.4283735199479997,0.6356643413728165,0,long_scoreboard,84.9351745,wait,1.4486634999999999,selected,1.0
CSR_DIRECT,512,Dense Small,6,0.0,49.52639233333333,40.92821849999999,51.39557316666667,411.2248245654366,1.1557752236240488,1.2489830110562739,0,long_scoreboard,49.783193000000004,wait,1.6232766666666665,selected,0.9999943333333333
CSR_DIRECT,512,Mixed/Irregular,5,0.0,31.029798600000003,30.414573999999998,33.5459242,189.5951947780825,0.5328701370941047,1.960553089736787,0,long_scoreboard,45.059972,wait,1.6782616000000001,selected,0.9999857999999999
CSR_DIRECT,512,Sparse Skewed,3,0.0,62.598268999999995,88.76852966666667,88.76852966666667,504.4926926249961,1.4179108842748624,0.6493525804323996,0,long_scoreboard,89.35508433333332,wait,1.4889613333333331,selected,1.0
CSR_DIRECT,512,Sparse Uniform,9,0.0,79.721957,91.88201266666665,91.88201266666665,400.39009857264824,1.1253234923345932,0.4800412523392708,0,long_scoreboard,106.43663677777778,wait,1.7548545555555555,selected,0.9999996666666667
RODE_ENHANCED,128,Community,4,0.0,41.18929575,70.29882175,70.29882175,366.454172335693,1.0299442730064448,0.6003059743189196,0,long_scoreboard,24.080787750000002,barrier,21.90946325,wait,1.9578805
RODE_ENHANCED,128,Dense Large-Scale,4,0.0,82.66065275,56.0272055,70.94994575,524.4459576401622,1.4739908871280556,1.4967217695381425,0,barrier,83.02009375,long_scoreboard,11.25939125,wait,1.73827375
RODE_ENHANCED,128,Dense Small,6,0.0,33.44189233333333,32.96177216666667,50.87776566666667,416.34518795042226,1.1701663517437388,3.1636521925413494,0,barrier,17.515454666666667,long_scoreboard,15.078856499999999,wait,1.7860911666666668
RODE_ENHANCED,128,Mixed/Irregular,5,0.0,21.4950294,19.7853974,19.9373774,89.53776565150167,0.2516519551756652,0.7959704944664556,0,barrier,41.0490772,long_scoreboard,17.417385200000002,wait,1.6036764000000001
RODE_ENHANCED,128,Sparse Skewed,3,0.0,33.644531666666666,86.26649833333333,91.92901866666666,556.1594121697942,1.563123699184357,0.7590554311289713,0,long_scoreboard,37.97679466666667,wait,1.5271626666666667,selected,0.999998
RODE_ENHANCED,128,Sparse Uniform,9,0.0,34.306430222222225,90.8629358888889,90.8629358888889,440.6321419879999,1.2384264811354688,0.5331474479863536,0,long_scoreboard,28.660062333333332,wait,2.036236888888889,selected,0.9999995555555555
RODE_ENHANCED,512,Community,4,0.0,93.63946525,93.94914125,93.94914125,432.01614816207245,1.2142106468860947,0.502898721486988,0,long_scoreboard,106.92923274999998,wait,1.626973,selected,1.00000025
RODE_ENHANCED,512,Dense Large-Scale,4,0.0,86.523136,91.77464075,91.77464075,594.7345292935499,1.6715416787339799,0.7193546292225635,0,long_scoreboard,83.94822424999998,barrier,43.266709000000006,wait,1.4396632500000002
RODE_ENHANCED,512,Dense Small,6,0.0,75.17123316666668,63.07454583333333,66.46656083333333,408.2233820995353,1.1473394662718812,1.3094666001793094,0,long_scoreboard,71.71148183333334,barrier,7.066704333333334,wait,1.4958624999999997
RODE_ENHANCED,512,Mixed/Irregular,5,0.0,61.657179799999994,54.667235600000005,54.9460046,243.55848536520315,0.6845376204755571,0.6700466801449863,0,long_scoreboard,74.72777479999999,barrier,5.9880414,wait,1.582474
RODE_ENHANCED,512,Sparse Skewed,3,0.0,96.13323033333334,92.18718866666666,93.37456833333333,560.8721525255492,1.5763691751701774,0.6804562698121804,0,long_scoreboard,129.471182,wait,1.2846496666666667,selected,1.0
RODE_ENHANCED,512,Sparse Uniform,9,0.0,92.41182088888888,93.87133733333333,93.87133733333333,423.4312781427901,1.1900822882034576,0.49529810405742875,0,long_scoreboard,109.87743022222222,wait,1.5982583333333333,selected,1.0000007777777775
SEGMENT_HYBRID,128,Community,4,0.0,41.2435975,70.31310275,70.31310275,366.45747930273257,1.0299535674613056,0.6001942040581334,0,long_scoreboard,24.104592750000002,barrier,21.88992825,wait,1.95785025
SEGMENT_HYBRID,128,Dense Large-Scale,4,0.0,82.65479975,56.01957425,70.9343765,524.9294262618208,1.4753497084368208,1.4955437160105831,0,barrier,83.00307425000001,long_scoreboard,11.25449375,wait,1.7382585000000002
SEGMENT_HYBRID,128,Dense Small,6,0.0,33.18137350000001,33.046278,51.0397965,415.2087975176803,1.1669724494594724,3.1662939487840505,0,barrier,17.506247666666667,long_scoreboard,15.033625666666667,wait,1.7860131666666668
SEGMENT_HYBRID,128,Mixed/Irregular,5,0.0,21.4764584,19.792188799999998,19.946063000000002,89.5175360939855,0.2515950986340233,0.7955025490111652,0,barrier,41.04446639999999,long_scoreboard,17.4234602,wait,1.6036312
SEGMENT_HYBRID,128,Sparse Skewed,3,0.0,33.64286766666667,86.58096733333333,91.77397566666667,553.8947625006035,1.5567587478937703,0.7494589716865795,0,long_scoreboard,38.012979333333334,wait,1.5281969999999998,selected,0.999998
SEGMENT_HYBRID,128,Sparse Uniform,9,0.0,34.29140388888889,91.01605522222222,91.01605522222222,438.06489482754506,1.2312110590993397,0.5288745719797316,0,long_scoreboard,28.749839222222224,wait,2.0389625555555555,selected,0.9999987777777777
SEGMENT_HYBRID,512,Community,4,0.0,93.01742025,93.70677849999998,93.70677849999998,428.6166939573223,1.2046562505826934,0.503204249176617,0,long_scoreboard,106.48266774999999,wait,1.627308,selected,1.00000025
SEGMENT_HYBRID,512,Dense Large-Scale,4,0.0,86.59599825000001,91.76846525,91.76846525,594.9141960659954,1.6720466443676094,0.7193884947777007,0,long_scoreboard,84.1945795,barrier,43.224962000000005,wait,1.439692
SEGMENT_HYBRID,512,Dense Small,6,0.0,75.50993533333333,63.27752583333333,66.69764833333333,408.72877971760266,1.1487599205104067,1.3062879582690339,0,long_scoreboard,71.84177183333334,barrier,7.071278166666667,wait,1.4962026666666663
SEGMENT_HYBRID,512,Mixed/Irregular,5,0.0,61.599982,54.435802,54.71074180000001,242.7944446342145,0.6823902322490569,0.6699642980034176,0,long_scoreboard,75.2413098,barrier,5.9753088000000005,wait,1.5810844
SEGMENT_HYBRID,512,Sparse Skewed,3,0.0,95.81942366666665,92.37499566666668,92.76721766666667,554.2738353938252,1.5578241579365517,0.67008669775685,0,long_scoreboard,129.38187666666667,wait,1.2849136666666665,selected,1.0000033333333334
SEGMENT_HYBRID,512,Sparse Uniform,9,0.0,92.44485966666667,93.89921133333333,93.89921133333333,420.27120692492167,1.1812006939992175,0.49112002243905345,0,long_scoreboard,109.31103788888889,wait,1.600946888888889,selected,1.0000000000000002
TC_DIRECT,128,Community,4,0.0,82.7814665,77.033116,79.55207575,480.31712069302694,1.3499638018353763,0.668669273841145,0,long_scoreboard,67.7328705,wait,1.9245474999999999,selected,1.0
TC_DIRECT,128,Dense Large-Scale,4,0.0,83.99717650000001,77.03375249999999,84.971167,728.6627786596512,2.0479560951648432,1.1209296977666576,0,long_scoreboard,86.24612950000001,lg_throttle,2.4825387500000002,wait,1.64935275
TC_DIRECT,128,Dense Small,6,0.0,65.49888116666666,22.925737,47.32814583333334,477.8254065107215,1.3429606703505383,3.9422514579730823,0,long_scoreboard,40.13997533333333,wait,1.8176055000000002,selected,0.9999775
TC_DIRECT,128,Mixed/Irregular,5,0.0,53.589251000000004,27.527601600000004,31.710882199999997,192.98851660974077,0.5424072979475569,2.3909491038077,0,long_scoreboard,52.51254859999999,wait,1.8909492,imc_miss,1.3502437999999999
TC_DIRECT,128,Sparse Skewed,3,0.0,82.86958,80.90001199999999,82.110419,514.3507265450125,1.4456175563378657,0.7787029658992749,0,long_scoreboard,103.61681766666668,wait,1.7133243333333334,selected,1.0
TC_DIRECT,128,Sparse Uniform,9,0.0,83.55191955555554,90.31096177777778,90.31096177777778,578.8087468190517,1.6267811883615844,0.7077901945783088,0,long_scoreboard,60.71376344444444,wait,1.9268454444444443,selected,1.0000002222222222
TC_DIRECT,512,Community,4,0.0,81.94965025,78.64972375,78.64972375,398.4658736595926,1.119915327879687,0.5440150215187236,0,long_scoreboard,96.93814125,wait,1.79452275,selected,0.9999994999999999
TC_DIRECT,512,Dense Large-Scale,4,0.0,85.04945925,88.98984525,88.98984525,518.8248656494376,1.4581924273452433,0.6428842469845722,0,long_scoreboard,117.15202300000001,lg_throttle,3.6863507500000003,wait,1.631783
TC_DIRECT,512,Dense Small,6,0.0,67.57349966666668,42.585949166666666,52.69475433333333,441.8722454865211,1.2419118760160797,1.3153745457918087,0,long_scoreboard,59.607497833333326,wait,1.7229286666666666,selected,1.0000093333333333
TC_DIRECT,512,Mixed/Irregular,5,0.0,51.506725,30.827961,33.8928412,194.82665053518645,0.5475734978504396,2.0041994720506793,0,long_scoreboard,63.2502224,wait,1.7777792000000001,selected,1.0000019999999998
TC_DIRECT,512,Sparse Skewed,3,0.0,83.82600066666667,87.19463133333333,87.19463133333333,439.7140526043101,1.235846128736116,0.5681339190264679,0,long_scoreboard,127.57180433333332,wait,1.6559426666666666,selected,1.0
TC_DIRECT,512,Sparse Uniform,9,0.0,83.40600244444444,90.79303644444445,90.79303644444445,515.2014947720331,1.4480086980664224,0.6229268474516558,0,long_scoreboard,85.61058411111111,wait,1.8039125555555557,selected,1.0
ZERO_OVERHEAD_CSR,128,Community,4,0.0,73.6105065,73.9953035,75.5430745,457.818216752302,1.2867291083538561,0.677627870147907,0,long_scoreboard,60.858379750000005,wait,2.1046405,selected,1.00000225
ZERO_OVERHEAD_CSR,128,Dense Large-Scale,4,0.0,53.99506975,36.0492385,50.19564625,424.4456788583381,1.1929333301246152,1.3377769394656904,0,long_scoreboard,37.37930375,wait,2.8276627500000004,selected,1.0
ZERO_OVERHEAD_CSR,128,Dense Small,6,0.0,22.2845765,13.592941166666668,42.13916583333333,420.6286513155833,1.1822053156705545,3.1559097179496827,0,long_scoreboard,20.669945833333333,wait,1.9758146666666667,imc_miss,1.4356673333333332
ZERO_OVERHEAD_CSR,128,Mixed/Irregular,5,0.0,25.7797146,38.3221356,40.127356400000004,218.18396943859662,0.6132208247290519,1.0775733522113442,0,long_scoreboard,36.488307199999994,imc_miss,2.1699349999999997,wait,1.7941358
ZERO_OVERHEAD_CSR,128,Sparse Skewed,3,0.0,42.44309933333333,57.205009,62.045999333333334,401.53156456559356,1.1285316598246025,0.8345131286598039,0,long_scoreboard,36.596291,wait,2.4949023333333336,selected,0.999998
ZERO_OVERHEAD_CSR,128,Sparse Uniform,9,0.0,82.02219544444445,88.35897666666666,88.35897666666666,469.2805443675804,1.3189447565137167,0.5904762987093478,0,long_scoreboard,74.61851777777777,wait,1.928541222222222,selected,1.0000030000000002
ZERO_OVERHEAD_CSR,512,Community,4,0.0,82.19864375,84.78675075,84.78675075,441.50111136948,1.240868778441484,0.569708555336216,0,long_scoreboard,89.51091650000001,wait,1.93970875,selected,0.9999975
ZERO_OVERHEAD_CSR,512,Dense Large-Scale,4,0.0,92.6157105,75.59148549999999,75.59148549999999,527.7796381039998,1.483360421877459,0.7450115896744618,0,long_scoreboard,91.79341124999999,wait,2.2243435,selected,1.0
ZERO_OVERHEAD_CSR,512,Dense Small,6,0.0,65.95471016666666,71.382748,77.09510116666667,575.518919906944,1.6175349069897245,0.9114082839207058,0,long_scoreboard,50.308717333333334,wait,1.8102773333333335,selected,0.9999991666666667
ZERO_OVERHEAD_CSR,512,Mixed/Irregular,5,0.0,40.796129199999996,48.95738659999999,49.021636799999996,238.6314703659974,0.6706899110904929,0.6477438752499192,0,long_scoreboard,57.186829,wait,1.8157558000000003,selected,0.9999994000000001
ZERO_OVERHEAD_CSR,512,Sparse Skewed,3,0.0,96.50048,90.572535,90.572535,519.0451518098031,1.458811556519964,0.6408245662729445,0,long_scoreboard,131.78816633333335,wait,1.7081836666666668,selected,0.9999983333333334
ZERO_OVERHEAD_CSR,512,Sparse Uniform,9,0.0,88.06088244444443,93.08954355555557,93.08954355555557,435.8153475577426,1.22488855412519,0.514099867591649,0,long_scoreboard,110.73678855555556,wait,1.7508697777777777,selected,0.9999996666666667
