M,N,category,cusparse_cold_exec_ms,cusparse_ms_cold,cusparse_ms_warm,cusparse_preprocess_ms,dataset,dtc_cold_exec_ms,dtc_correct,dtc_end_to_end_ms,dtc_failure_class,dtc_failure_detail,dtc_hard_fail,dtc_max_error,dtc_mean_kernel_ms,dtc_ms,dtc_ms_cold,dtc_ms_warm,dtc_preprocess_ms,dtc_reorder_method,dtc_reorder_ms,dtc_reorder_version,dtc_selection_variant_ms,dtc_soft_fail,dtc_speedup_vs_cusparse_cold,dtc_speedup_vs_cusparse_warm,dtc_std_kernel_ms,dtc_tolerance,dtc_variant,dtc_variant_count,nnz,pyg_cold_exec_ms,pyg_correct,pyg_hard_fail,pyg_max_error,pyg_ms_cold,pyg_ms_warm,pyg_preprocess_ms,pyg_soft_fail,pyg_speedup_vs_cusparse_cold,pyg_speedup_vs_cusparse_warm,pyg_tolerance
1090920,64,Sparse Uniform,1.4047231674194336,2.762869358062744,1.3988096714019775,1.358146071434021,roadNet-PA,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,3083796,4.824892807006836,True,False,9.5367431640625e-07,5.370682306308299,4.789913635253907,0.5457894993014634,False,0.5144354479537044,0.2920323366807069,0.003
1090920,128,Sparse Uniform,3.0360960960388184,4.629103660583496,3.0265088081359863,1.5930074453353882,roadNet-PA,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,3083796,9.610947036743164,True,False,9.5367431640625e-07,10.168699956592173,9.573632202148438,0.5577529198490083,False,0.45523062735099556,0.31612963024178026,0.003
1090920,256,Sparse Uniform,6.059945583343506,8.041280746459961,6.049924850463867,1.981335163116455,roadNet-PA,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,3083796,19.04664306640625,True,False,9.5367431640625e-07,19.620315490476788,19.009398193359374,0.5736724240705371,False,0.40984461999925526,0.3182596728694605,0.003
1090920,512,Sparse Uniform,12.138086318969727,15.004888534545898,12.132567405700684,2.86680269241333,roadNet-PA,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,3083796,38.28635215759277,True,False,9.5367431640625e-07,38.86703784810379,38.2085986328125,0.580685690511018,False,0.38605691005284426,0.3175350010162782,0.003
403394,64,Sparse Uniform,1.0043392181396484,2.25394344329834,0.9988864064216614,1.249604344367981,Amazon0601,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,3387388,2.134057641029358,True,False,2.86102294921875e-06,2.7426848132163286,2.078592071533203,0.6086271721869707,False,0.8218018462920481,0.4805591342821137,0.0031622776601683794
403394,128,Sparse Uniform,2.2591359615325928,3.5419204235076904,2.251023292541504,1.2827844619750977,Amazon0601,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,3387388,4.196591997146607,True,False,2.86102294921875e-06,4.812931183818728,4.162969665527344,0.6163391866721213,False,0.7359175288887928,0.5407253651598145,0.0031622776601683794
403394,256,Sparse Uniform,4.464742660522461,5.916690826416016,4.459770679473877,1.4519479274749756,Amazon0601,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,3387388,8.406502437591552,True,False,2.86102294921875e-06,9.023297716211527,8.338145141601563,0.6167952786199749,False,0.6557126909140891,0.5348636421813664,0.0031622776601683794
403394,512,Sparse Uniform,8.928556442260742,10.70407485961914,8.91675090789795,1.7755179405212402,Amazon0601,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,3387388,16.779641532897948,True,False,2.86102294921875e-06,17.41591203548014,16.704788818359376,0.6362705025821924,False,0.6146146603067658,0.5337841145347498,0.0031622776601683794
281904,64,Sparse Uniform,0.5671936273574829,1.8233845233917236,0.5612390637397766,1.2561908960342407,web-Stanford,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,2312497,2.036969614028931,True,False,2.6702880859375e-05,2.486972004454583,1.9818138122558593,0.45000239042565227,False,0.7331745271461587,0.2831946473826062,0.01596871942267131
281904,128,Sparse Uniform,1.2062560319900513,2.453188896179199,1.1988736391067505,1.2469329833984375,web-Stanford,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,2312497,3.9913471937179565,True,False,3.4332275390625e-05,4.446931605692953,3.9571713256835936,0.45558441197499633,False,0.5516587871598096,0.30296227795991304,0.01596871942267131
281904,256,Sparse Uniform,2.403398275375366,3.7542974948883057,2.396390438079834,1.3508992195129395,web-Stanford,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,2312497,7.949004745483398,True,False,3.4332275390625e-05,8.405881018284708,7.912263793945312,0.4568762728013098,False,0.446627484581551,0.3028703921516898,0.01596871942267131
281904,512,Sparse Uniform,4.758016109466553,6.391261100769043,4.751042366027832,1.6332449913024902,web-Stanford,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,2312497,15.843382263183594,True,False,3.4332275390625e-05,16.315674148127435,15.8055419921875,0.4722918849438429,False,0.39172522341055543,0.3005934480687988,0.01596871942267131
716847,64,Sparse Uniform,4.011622428894043,5.413071632385254,4.001249313354492,1.40144944190979,Yelp,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,13954819,10.547635078430176,True,False,0.00048828125,12.527931461110711,10.490721435546876,1.9802963826805353,False,0.43208023999720524,0.38140840341033316,0.06989992846920517
716847,128,Sparse Uniform,8.596121788024902,10.084875106811523,8.587370872497559,1.488753318786621,Yelp,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,13954819,20.750867080688476,True,False,0.00038909912109375,22.731480660196393,20.68142578125,1.9806135795079172,False,0.4436523628867911,0.41522141477706825,0.06989992846920517
716847,256,Sparse Uniform,17.23801612854004,18.978858947753906,17.23005485534668,1.7408431768417358,Yelp,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,13954819,41.15946502685547,True,False,0.000518798828125,43.16703860210255,41.094296875,2.007573575247079,False,0.43966089781358075,0.41928092620143365,0.06989992846920517
1632803,64,Sparse Skewed,9.216041564941406,10.722148895263672,9.20721435546875,1.5061078071594238,soc-Pokec,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,30622564,20.782377815246583,True,False,0.0006103515625,25.140340521372856,20.70390380859375,4.357962706126273,False,0.42649179258921827,0.44470909643847123,0.09361089680160105
1632803,128,Sparse Skewed,19.44063949584961,21.222492218017578,19.435304641723633,1.7818535566329956,soc-Pokec,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,30622564,41.324354553222655,True,False,0.00079345703125,45.66600414328277,41.250009765625,4.341649590060115,False,0.46473284922038216,0.4711587888621475,0.09361089680160105
1632803,256,Sparse Skewed,38.81973648071289,41.29718780517578,38.80994415283203,2.4774529933929443,soc-Pokec,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,30622564,82.99199676513672,True,False,0.0007781982421875,87.36558287311345,82.932080078125,4.373586107976735,False,0.4726940111548765,0.4679726363582304,0.09361089680160105
9877,64,Dense Small,0.02232320047914982,1.3149898052215576,0.01740800030529499,1.2926665544509888,ca-HepTh,20.07164764404297,True,20.525204458236693,,,False,0.0051174163818359375,19.95340805053711,19.95340805053711,3450.2582647157833,20.525204458236693,3430.1866170717403,DTC_IDENTITY_ORDER,0.0,identity-v1,3425.7151150377467,False,0.0003811279342967911,0.0008481279853126735,0.14607361641178485,0.0806225774829855,nobal_float2_split,5,51971,0.08650559931993484,True,False,5.7220458984375e-06,0.4117756080813706,0.049018878936767575,0.32527000876143575,False,3.1934621172648567,0.35512848687850707,0.00806225774829855
9877,128,Dense Small,0.03495680168271065,1.1949188709259033,0.0301414392888546,1.1599620580673218,ca-HepTh,34.66032028198242,True,35.67248901367188,,,False,0.005488395690917969,35.259750556945804,35.259750556945804,9257.858311426826,35.67248901367188,9223.197991144843,DTC_IDENTITY_ORDER,0.0,identity-v1,9218.676525051706,False,0.0001290707667723791,0.0008449491505149124,0.17364478087984975,0.0806225774829855,nobal_float2_split,7,51971,0.13207679837942124,True,False,5.7220458984375e-06,0.42428338890895245,0.10010111808776856,0.29220659052953124,False,2.8163225385717907,0.30110991629910283,0.00806225774829855
9877,256,Dense Small,0.0736256018280983,1.1212282180786133,0.0685516819357872,1.047602653503418,ca-HepTh,54.029151916503906,True,57.370265617370606,,,False,0.005871772766113281,56.9004545211792,56.9004545211792,13678.694014905952,57.370265617370606,13624.664862989448,DTC_IDENTITY_ORDER,0.0,identity-v1,13620.155198965222,False,8.196895236173776e-05,0.0011948991554787411,0.2477446557937687,0.0806225774829855,nobal_float2_split,7,51971,0.2320575997233391,True,False,9.5367431640625e-06,0.5606078313663602,0.19543039321899414,0.3285502316430211,False,2.0000223959516625,0.35077288034195375,0.00806225774829855
9877,512,Dense Small,0.13281279802322388,1.2260513305664062,0.1268889605998993,1.0932384729385376,ca-HepTh,98.3763198852539,True,99.259176902771,,,False,0.0064046382904052734,98.90268211364746,98.90268211364746,27909.308566853404,99.259176902771,27810.93224696815,DTC_IDENTITY_ORDER,0.0,identity-v1,27806.419107946567,False,4.3929835367635396e-05,0.0012783599920861016,0.4304744651163421,0.0806225774829855,nobal_float4_split,7,51971,0.4225760042667389,True,False,7.62939453125e-06,0.7543856088072062,0.38613502502441405,0.33180960454046726,False,1.6252316007260166,0.3286129265064119,0.00806225774829855
13752,64,Dense Small,0.07303040474653244,1.2904964685440063,0.06762495636940002,1.217466115951538,amazon-computers,nan,False,344.2904316711426,,,True,29.373857498168945,345.81212005615237,345.81212005615237,nan,nan,nan,DTC_IDENTITY_ORDER,0.0,identity-v1,35796.55832995195,False,,,0.2982205930639782,0.5469917732470938,nobal_float2_nonsplit,5,491722,0.4467231959104538,True,False,0.0001983642578125,0.7437259929254652,0.408540153503418,0.2970027970150113,False,1.7351773110252684,0.1655282982333198,0.05469917732470938
13752,128,Dense Small,0.12503039836883545,1.2592308521270752,0.11468799412250519,1.1342004537582397,amazon-computers,nan,False,382.4184786987305,,,True,39.12739944458008,380.4540954589844,380.4540954589844,nan,nan,nan,DTC_IDENTITY_ORDER,0.0,identity-v1,60956.9934370229,False,,,0.34613753595068547,0.5469917732470938,nobal_float2_split,7,491722,0.663459199666977,True,False,0.0003509521484375,1.0004318237304688,0.6110771179199219,0.3369726240634918,False,1.258687321072596,0.1876817029459355,0.05469917732470938
13752,256,Dense Small,0.25804799795150757,1.472832202911377,0.23592446744441986,1.2147842645645142,amazon-computers,525.0204467773438,True,521.2310589599609,,,False,0.04535865783691406,519.9602691650391,519.9602691650391,95411.33595878258,521.2310589599609,94886.31551200524,DTC_IDENTITY_ORDER,0.0,identity-v1,94877.49108404387,False,1.5436658423351667e-05,0.00045262933470459734,0.37347601502161637,0.5469917732470938,nobal_float4_split,7,491722,1.0588832139968871,True,False,0.00028228759765625,1.3632392218336462,1.0018252563476562,0.3043560078367591,False,1.0803915991577187,0.23549462937731,0.05469917732470938
13752,512,Dense Small,0.4953855872154236,1.7418851852416992,0.4832511842250824,1.2464996576309204,amazon-computers,778.1837158203125,True,777.6280453491211,,,False,0.037841796875,777.9863037109375,777.9863037109375,193879.85965195764,777.6280453491211,193101.67593613733,DTC_IDENTITY_ORDER,0.0,identity-v1,193092.77669806033,False,8.984353446348861e-06,0.0006214425869994487,0.41646089517343887,0.5469917732470938,nobal_float4_split,7,491722,1.837820792198181,True,False,0.00030517578125,2.1368700192309915,1.7833319091796875,0.29904922703281045,False,0.8151572952802071,0.270982188866554,0.05469917732470938
107614,64,Dense Large-Scale,1.7630208730697632,2.960322856903076,1.7907148599624634,1.1973021030426025,gplus-combined,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,13673453,5.04204478263855,True,False,0.00067138671875,7.463130109570921,5.0057369995117185,2.4210853269323707,False,0.3966596874824248,0.3577325097457452,0.07110555533852471
107614,128,Dense Large-Scale,3.299020767211914,4.533487796783447,3.2496843338012695,1.2344669103622437,gplus-combined,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,13673453,9.420767974853515,True,False,0.0006256103515625,11.848310650140046,9.375134887695312,2.4275426752865314,False,0.38262735765877826,0.3466280083144637,0.07110555533852471
107614,256,Dense Large-Scale,6.294172763824463,7.555524826049805,6.427361488342285,1.2613518238067627,gplus-combined,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,13673453,17.99327983856201,True,False,0.000640869140625,20.428407461009918,17.96042724609375,2.435127622447908,False,0.3698538341997748,0.3578623938214045,0.07110555533852471
107614,512,Dense Large-Scale,12.422639846801758,13.795095443725586,12.67504596710205,1.3724554777145386,gplus-combined,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,13673453,35.582662200927736,True,False,0.000732421875,38.022739698085935,35.489873046875,2.4400774971581995,False,0.36281171617993724,0.3571454299191451,0.07110555533852471
2449029,64,Dense Large-Scale,39.09882354736328,40.79311752319336,39.088375091552734,1.6942945718765259,ogbn-products,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,123718152,80.11409225463868,True,False,0.00079345703125,98.201135472022,79.885087890625,18.087043217383325,False,0.41540372549781285,0.48930753065041055,0.1322157328006013
2449029,128,Dense Large-Scale,79.15509796142578,81.3177261352539,79.14104461669922,2.1626248359680176,ogbn-products,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,123718152,159.7807174682617,True,False,0.00115966796875,177.8680025617592,159.65390625,18.087285093497485,False,0.45718018397951493,0.49570377872730076,0.1322157328006013
317080,64,Community,0.7153536081314087,1.9565107822418213,0.709048330783844,1.2411571741104126,com-DBLP,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,2099732,2.14552640914917,True,False,2.288818359375e-05,2.576996120624244,2.1108940124511717,0.4314697114750743,False,0.7592214697505566,0.33589954142723466,0.018520259177452137
317080,128,Community,1.5476800203323364,2.794766426086426,1.5411558151245117,1.247086524963379,com-DBLP,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,2099732,4.261708736419678,True,False,3.0517578125e-05,4.70100714545697,4.227409973144531,0.439298409037292,False,0.5945037604946579,0.3645626577301499,0.018520259177452137
317080,256,Community,3.0729055404663086,4.4988203048706055,3.0642740726470947,1.4259146451950073,com-DBLP,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,2099732,8.501903915405274,True,False,3.4332275390625e-05,8.951532112061978,8.46223388671875,0.44962819665670395,False,0.5025754528443853,0.3621117205772806,0.018520259177452137
317080,512,Community,6.145267009735107,7.800920009613037,6.136309623718262,1.6556529998779297,com-DBLP,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,2099732,16.974271965026855,True,False,3.814697265625e-05,17.449335046857595,16.93349853515625,0.47506308183074,False,0.4470611624262372,0.3623769542353251,0.018520259177452137
1157828,64,Community,1.9319168329238892,3.3044018745422363,1.92401921749115,1.3724850416183472,com-youtube,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,5975248,8.080038261413574,True,False,0.0012664794921875,9.164924741070717,8.02566162109375,1.0848864796571434,False,0.36054871893647333,0.23973340869919973,0.16957004452437938
1157828,128,Community,4.082672119140625,5.760347843170166,4.072089672088623,1.6776758432388306,com-youtube,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,5975248,15.478895950317384,True,False,0.0017547607421875,16.58814195189625,15.437911376953124,1.1092460015788674,False,0.34725696584189647,0.26377205909911783,0.16957004452437938
1157828,256,Community,8.13015079498291,10.693233489990234,8.12171745300293,2.5630831718444824,com-youtube,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,5975248,30.4888032913208,True,False,0.002471923828125,31.611022011004387,30.4412255859375,1.1222187196835876,False,0.3382754751259773,0.2667999496299783,0.16957004452437938
3327,64,Mixed/Irregular,0.018943998962640762,1.3040095567703247,0.013875199481844902,1.2850655317306519,CiteSeer,13.23971176147461,True,13.334876160621643,,,False,0.0061798095703125,13.221529483795166,13.221529483795166,2774.2213048096746,13.334876160621643,2760.9815930482,DTC_IDENTITY_ORDER,0.0,identity-v1,2756.630468997173,False,0.0004700452536030777,0.0010405195604904717,0.1503043077694336,0.099498743710662,nobal_float2_nonsplit,5,9104,0.05469119995832443,True,False,6.67572021484375e-06,0.322220384888351,0.019148800373077392,0.26752918493002653,False,4.046949286657213,0.7245988893044701,0.0099498743710662
3327,128,Mixed/Irregular,0.022313600406050682,1.0900909900665283,0.0141056003049016,1.067777395248413,CiteSeer,13.79417610168457,True,14.112640013694763,,,False,0.005419731140136719,13.896755170822143,13.896755170822143,5004.7104370854795,14.112640013694763,4990.916260983795,DTC_IDENTITY_ORDER,0.0,identity-v1,4986.556167947128,False,0.00021781299912754769,0.0009995011770450935,0.16569455459595372,0.099498743710662,nobal_float2_split,7,9104,0.06924479901790619,True,False,7.62939453125e-06,0.3825268818065524,0.032040960788726806,0.3132820827886462,False,2.8497108096517985,0.4402364959625203,0.0099498743710662
3327,256,Mixed/Irregular,0.024883199483156204,1.052732229232788,0.019353600218892097,1.0278490781784058,CiteSeer,19.14022445678711,True,18.798064670562745,,,False,0.007346153259277344,19.06421766281128,19.06421766281128,7261.729712500237,18.798064670562745,7242.58948804345,DTC_IDENTITY_ORDER,0.0,identity-v1,7238.196025020443,False,0.00014496989986017105,0.0010295528054650915,0.26932183356787165,0.099498743710662,nobal_float2_split,7,9104,0.09648960083723068,True,False,6.67572021484375e-06,0.3888610936701298,0.061327362060546876,0.2923714928328991,False,2.70721922652879,0.3155785536606776,0.0099498743710662
3327,512,Mixed/Irregular,0.045977599918842316,1.2691344022750854,0.0373811200261116,1.2231568098068237,CiteSeer,27.428192138671875,True,29.30366467475891,,,False,0.0077877044677734375,28.696371173858644,28.696371173858644,10396.755998075008,29.30366467475891,10369.327805936337,DTC_IDENTITY_ORDER,0.0,identity-v1,10364.930948009714,False,0.0001220702306094391,0.0012756465937282689,1.7262656367292892,0.099498743710662,nobal_float2_split,7,9104,0.1502367988228798,True,False,1.33514404296875e-05,0.4213537060655653,0.11681792259216309,0.27111690724268556,False,3.0120404401465026,0.3199947336558729,0.0099498743710662
89250,64,Mixed/Irregular,0.25824639201164246,1.4930568933486938,0.25165826082229614,1.234810471534729,Flickr,847.4541625976562,True,847.1342449951172,,,False,0.052410125732421875,846.547250366211,846.547250366211,90041.01096250024,847.1342449951172,89193.55679990258,DTC_IDENTITY_ORDER,0.0,identity-v1,89179.4117129175,False,1.6581965011149348e-05,0.00029707010702152253,0.33469489254776763,0.7365459931328118,nobal_float2_nonsplit,5,899756,1.053983998298645,True,False,0.000396728515625,1.4076025698333978,1.0064588928222655,0.35361857153475285,False,1.0607091272399498,0.25004325821654544,0.07365459931328118
